"post","bloco","formato","tema","titulo_capa","objetivo","estrutura_slide_a_slide","legenda_base","cta","imagem_cena_sugerida","prioridade","dependencias","status"
"11","Autoridade","Carrossel","Equipe em metodo","EQUIPE EM METODO","Mostrar preparo e rotina como prova","1 capa; 2 nao e improviso; 3 estudo de produto; 4 leitura de cliente; 5 leitura de cidade; 6 comparacao; 7 recomendacao; 8 fechamento","Metodo e o que permite que a B. Living mantenha criterio em cada atendimento. A equipe estuda, compara e conduz antes de recomendar.","Salve para entender como avaliamos uma oportunidade","Bastidores de reuniao, mesa com materiais, plantas e anotações editoriais","Media","Fotos ou cenas de equipe em reuniao","A produzir"
"12","Autoridade","Carrossel","Resultados de vendas como prova de metodo","RESULTADO COMO PROVA DE METODO","Apresentar performance sem ostentacao","1 capa; 2 resultado nao e trofeu; 3 e consequencia de leitura; 4 relacao; 5 produto certo; 6 timing; 7 metodo; 8 prova com dado validado","Resultado, para a B. Living, nao e exibicao. E evidencia de que criterio, relacao e metodo produzem decisoes mais bem conduzidas.","Converse sobre sua proxima decisao","Numeros tratados como dado editorial em fundo azul profundo","Alta","Numeros reais validados; quais resultados podem ser publicados","Aguardando dados"
"13","Mercado","Carrossel","Mercado imobiliario vs mercado financeiro","MERCADO IMOBILIARIO VS MERCADO FINANCEIRO","Educar investidor e ampliar repertorio de decisao","1 capa; 2 liquidez; 3 volatilidade; 4 tangibilidade; 5 renda e valorizacao; 6 risco; 7 horizonte; 8 decisao depende do perfil","Comparar mercado imobiliario e mercado financeiro nao e escolher um vencedor universal. E entender perfil, horizonte, risco, liquidez e objetivo patrimonial.","Salve antes de decidir onde investir","Grafico editorial sobrio, cidade e dossie patrimonial","Alta","Validar pontos tecnicos; evitar promessa financeira","A produzir"
"14","Mercado","Carrossel","Florianopolis como territorio estrategico","FLORIANOPOLIS COMO TERRITORIO","Reposicionar cidade como variavel de decisao","1 capa; 2 cidade nao e cenario; 3 mobilidade; 4 escassez; 5 estilo de vida; 6 bairros; 7 liquidez; 8 tese territorial","Florianopolis nao entra na decisao apenas pela beleza. Entra por territorio, escassez, mobilidade, estilo de vida, demanda e horizonte de valorizacao.","Peça uma leitura de territorio","Mapa abstrato de Floripa, linhas de analise e fotografia urbana sobria","Alta","Nenhuma","A produzir"
"15","Mercado","Carrossel","Cacupe 4: privacidade vista e escassez","CACUPE 4 PRIVACIDADE VISTA ESCASSEZ","Apresentar Cacupe como territorio de valor de longo prazo","1 capa; 2 por que Cacupe; 3 privacidade; 4 vista; 5 escassez; 6 perfil de comprador; 7 valor de longo prazo; 8 tese B Living","Cacupe deve ser lido menos como endereco e mais como territorio de privacidade, vista, escassez e valor de longo prazo.","Fale com a B. Living sobre Cacupe","Imagem escura e elegante de vista/territorio, sem clima turistico","Alta","Confirmar se Cacupe 4 e produto, regiao ou campanha; dados publicaveis","Aguardando dados"
"16","Mercado","Carrossel","O que faz um imovel ser uma boa decisao","O QUE FAZ UM IMOVEL SER UMA BOA DECISAO","Ensinar criterios da curadoria","1 capa; 2 contexto do cliente; 3 localizacao; 4 planta; 5 liquidez; 6 construtora; 7 timing; 8 comparacao; 9 decisao","Um bom imovel nao e apenas bonito. Ele precisa fazer sentido para o cliente, para o momento, para o territorio, para o patrimonio e para o futuro.","Use como checklist antes de comprar","Checklist editorial em papel off-white sobre fundo azul profundo","Alta","Nenhuma","A produzir"
"17","Mercado","Estatico editorial","Nem todo alto padrao e uma boa escolha","NEM TODO ALTO PADRAO E UMA BOA ESCOLHA","Reforcar filtro e tese com frase forte","Post unico com frase e apoio: alto padrao tambem precisa de criterio","Alto padrao sem criterio pode virar excesso. A B. Living filtra para que desejo, patrimonio e contexto caminhem juntos.","Acompanhe a curadoria B. Living","Imagem minimalista, arquitetura sofisticada em sombra e frase forte","Media","Nenhuma","A produzir"
"18","Mercado","Carrossel","Como a B. Living le produto cidade e cliente","PRODUTO CIDADE CLIENTE","Explicar metodo de leitura da marca","1 capa; 2 lemos o cliente; 3 lemos a cidade; 4 lemos o produto; 5 lemos o timing; 6 comparamos alternativas; 7 recomendamos com tese","A recomendacao certa nasce do encontro entre cliente, cidade e produto. Separar esses tres elementos e o que evita escolhas bonitas, mas pouco estrategicas.","Peça uma leitura personalizada","Triade visual: pessoa/dossie, mapa/cidade, produto/planta","Alta","Nenhuma","A produzir"
"19","Construtoras","Reels","Casa Dimas: uma casa como experiencia","CASA DIMAS UMA CASA COMO EXPERIENCIA","Usar evento como prova sensorial e relacional","Cena 1 chegada; cena 2 detalhes da casa; cena 3 conversas; cena 4 experiencia; cena 5 assinatura B Living","Casa Dimas mostra que produto tambem pode ser experiencia. Para a B. Living, eventos assim ajudam a ler marca, construtora, desejo e cliente com mais profundidade.","Veja os bastidores da Casa Dimas","Video vertical do evento com cortes lentos e elegantes","Alta","Video/fotos do evento; autorizacao de uso; roteiro curto","A produzir"
"20","Construtoras","Carrossel","Casa Dimas: uma casa como experiencia","CASA DIMAS EM CARROSSEL","Detalhar evento","marca e relacao","1 capa; 2 nao era apenas evento; 3 casa como experiencia; 4 relacao com construtora; 5 leitura de cliente; 6 produto vivido; 7 o que a B Living observa","Uma casa como experiencia muda a forma de apresentar valor. Nao se trata apenas de mostrar ambientes, mas de entender como produto, marca e cliente se encontram.","Salve para rever a experiencia","Fotos selecionadas do evento com tratamento editorial","Alta","Curadoria de imagens do evento; nomes corretos; aprovar mencao Dimas"
"21","Construtoras","Carrossel","Relacao com construtoras","CONSTRUTORAS COMO ACESSO","Mostrar parceria como prova de ecossistema","1 capa; 2 acesso nao e atalho; 3 e relacao; 4 leitura antecipada; 5 comparacao; 6 confianca; 7 cliente ganha contexto","A relacao com construtoras amplia a capacidade da B. Living de ler oportunidades antes de transforma-las em recomendacao.","Fale com a B. Living antes de escolher um lancamento","Mesa com logos discretos, plantas, dossies e linhas finas","Alta","Validar uso de nomes/logos de construtoras","A produzir"
"22","Construtoras","Carrossel","GND Incorporadora","GND INCORPORADORA","Apresentar GND por tese e criterio","1 capa; 2 por que observar GND; 3 perfil de produto; 4 territorio; 5 publico; 6 criterios B Living; 7 como entra na curadoria","Uma construtora entra na curadoria da B. Living pelo que permite avaliar: produto, territorio, padrao, consistencia e adequacao ao perfil do cliente.","Peça uma leitura das oportunidades GND","Material editorial com produto/arquitetura GND se houver, sem release publicitario","Media","Informacoes oficiais GND; empreendimentos relevantes; autorizacao de imagens","Aguardando dados"
"23","Construtoras","Carrossel","Dimas","DIMAS","Conectar experiencia","produto e credibilidade","1 capa; 2 Dimas no ecossistema; 3 experiencia; 4 produto; 5 relacao; 6 leitura B Living; 7 oportunidades com tese","Dimas aparece na primeira fase por sua capacidade de conectar produto, experiencia e presenca de marca dentro do mercado local.","Fale com a B. Living sobre oportunidades Dimas","Cena Casa Dimas ou material institucional tratado editorialmente","Media","Dados e imagens Dimas; confirmar foco do post"
"24","Construtoras","Carrossel","Max CBA Viva 4 CFL Hurbana","MAPA DE ACESSO QUALIFICADO","Mostrar amplitude de relacoes sem propaganda individual longa","1 capa; 2 Max Incorporacoes; 3 CBA Empreendimentos; 4 Viva 4 Empreendimentos; 5 CFL; 6 Hurbana; 7 como a B Living filtra; 8 fechamento","O valor nao esta apenas em conhecer construtoras. Esta em saber comparar produtos, momentos, territorios e perfis de cliente dentro de cada oportunidade.","Envie para quem quer comparar lancamentos","Mapa editorial de ecossistema com nomes em tipografia discreta","Media","Validar grafia; confirmar se pode citar todas juntas; logos opcionais","Aguardando dados"
"25","Produtos","Carrossel produto","Natus: escolha de estilo de vida","NATUS ESCOLHA DE ESTILO DE VIDA","Apresentar empreendimento pelo perfil de vida que atende","1 capa; 2 para quem faz sentido; 3 estilo de vida; 4 territorio; 5 rotina; 6 atributos do produto; 7 tese B Living; 8 convite","Natus deve ser apresentado a partir do perfil de vida que atende. Antes de falar da unidade, a pergunta e: que rotina, desejo e decisao esse produto sustenta?","Peça a curadoria completa do Natus","Imagem de estilo de vida sofisticado, arquitetura e rotina sem clichê de resort","Alta","Dados do Natus; imagens; construtora; unidades disponiveis","Aguardando dados"
"26","Produtos","Carrossel produto","Jazz 1401 Torre 2","JAZZ 1401 TORRE 2","Apresentar produto com tese","1 capa; 2 tese do produto; 3 para quem e; 4 territorio; 5 diferenciais; 6 ponto de atencao; 7 por que entrou na curadoria; 8 CTA","Jazz 1401 Torre 2 entra como oportunidade quando a unidade, o contexto e o perfil do comprador apontam para uma decisao consistente.","Solicite o dossie de curadoria","Arquitetura noturna, planta ou vista tratada como dossie","Alta","Ficha tecnica; preco se publicavel; fotos; planta; bairro; construtora","Aguardando dados"
"27","Produtos","Carrossel produto","La Premiere 804 e 805","LA PREMIERE 804 E 805","Comparar duas unidades como decisao","1 capa; 2 duas unidades; 3 o que muda; 4 perfil do comprador 804; 5 perfil do comprador 805; 6 comparacao; 7 criterio de escolha; 8 CTA","La Premiere 804 e 805 nao devem ser vistos apenas como unidades disponiveis. A pergunta certa e: qual delas responde melhor ao momento, ao uso e ao patrimonio do cliente?","Peça a comparacao entre as unidades","Duas fichas editoriais lado a lado, planta e luz sofisticada","Alta","Ficha 804; ficha 805; fotos; planta; diferencas reais","Aguardando dados"
"28","Produtos","Carrossel produto","Citta Jurere 103B Garden","CITTA JURERE 103B GARDEN","Apresentar garden por estilo de vida e territorio","1 capa; 2 garden como decisao; 3 Jurere como contexto; 4 rotina; 5 privacidade; 6 perfil; 7 tese B Living; 8 CTA","Citta Jurere 103B Garden deve ser lido pelo que permite viver: relacao com area externa, territorio, rotina e adequacao ao perfil certo.","Peça uma leitura do Citta Jurere","Cena garden sofisticada, baixa luz, sem praia turistica","Alta","Ficha do Citta; fotos; planta; dados do bairro; construtora","Aguardando dados"
"29","Produtos","Carrossel produto","Dungenheim 1301 Soprano 1103 Wok Residence","CURADORIA COMPARATIVA","Mostrar comparacao como metodo","1 capa; 2 por que comparar; 3 Dungenheim 1301; 4 Soprano 1103; 5 Wok Residence; 6 criterios de comparacao; 7 para quem cada um faz sentido; 8 CTA","Tres produtos podem parecer concorrentes, mas cada um responde a uma decisao diferente. A curadoria existe para comparar com criterio, nao para empilhar opcoes.","Solicite a comparacao completa","Tres dossies editoriais em mesa, cada um com cor/acento discreto","Alta","Fichas dos tres produtos; fotos; unidades; bairros; precos se publicaveis","Aguardando dados"
"30","Produtos","Carrossel produto","Casa Sambaqui pe na areia e Ilha da Magia","RARIDADE COM CRITERIO","Fechar fase com desejo","raridade e filtro","1 capa; 2 raridade nao basta; 3 Casa Sambaqui pe na areia; 4 Ilha da Magia; 5 territorio; 6 escassez; 7 perfil certo; 8 decisao B Living; 9 CTA","Casa Sambaqui pe na areia e Ilha da Magia entram como oportunidades de alto desejo. Mas desejo, na B. Living, precisa vir acompanhado de criterio, contexto e leitura de longo prazo.","Fale com a B. Living para avaliar raridade com criterio","Arquitetura e territorio costeiro sobrio, sem clima turistico ou resort","Alta","Fichas dos dois produtos; imagens; regras de divulgacao; confirmar nome Ilha da Magia"
